Country/Area,Item1,Item2,Purpose,Year,Composition ratio
Overall,Eat Japanese food,What you wanted to do during this trip to Japan?,Overall,2024,82.2095
Overall,Eat Japanese food,What did you do during your current stay in Japan?,Overall,2024,97.9181
Overall,Drink Japanese alcoholic beverages,What you wanted to do during this trip to Japan?,Overall,2024,32.1967
Overall,Drink Japanese alcoholic beverages,What did you do during your current stay in Japan?,Overall,2024,47.963
Overall,Stay in a Japanese-style inn,What you wanted to do during this trip to Japan?,Overall,2024,18.0786
Overall,Stay in a Japanese-style inn,What did you do during your current stay in Japan?,Overall,2024,23.3104
Overall,Bathe in a hot spring,What you wanted to do during this trip to Japan?,Overall,2024,24.276
Overall,Bathe in a hot spring,What did you do during your current stay in Japan?,Overall,2024,27.4945
Overall,Nature/scenery sightseeing,What you wanted to do during this trip to Japan?,Overall,2024,53.6215
Overall,Nature/scenery sightseeing,What did you do during your current stay in Japan?,Overall,2024,67.8189
Overall,Sports watching,What you wanted to do during this trip to Japan?,Overall,2024,2.597
Overall,Sports watching,What did you do during your current stay in Japan?,Overall,2024,1.9746
Overall,Stage or music performances,What you wanted to do during this trip to Japan?,Overall,2024,4.3907
Overall,Stage or music performances,What did you do during your current stay in Japan?,Overall,2024,4.4784
Overall,Shopping,What you wanted to do during this trip to Japan?,Overall,2024,62.7968
Overall,Shopping,What did you do during your current stay in Japan?,Overall,2024,85.9955
Overall,Theme parks,What you wanted to do during this trip to Japan?,Overall,2024,20.8799
Overall,Theme parks,What did you do during your current stay in Japan?,Overall,2024,24.0965
Overall,Ski/snowboard,What you wanted to do during this trip to Japan?,Overall,2024,3.4731
Overall,Ski/snowboard,What did you do during your current stay in Japan?,Overall,2024,2.6744
Overall,Other sports,What you wanted to do during this trip to Japan?,Overall,2024,2.0368
Overall,Other sports,What did you do during your current stay in Japan?,Overall,2024,1.8861
Overall,Seasons,What you wanted to do during this trip to Japan?,Overall,2024,15.8151
Overall,Seasons,What did you do during your current stay in Japan?,Overall,2024,16.7072
Overall,Visiting film/anime settings,What you wanted to do during this trip to Japan?,Overall,2024,7.3508
Overall,Visiting film/anime settings,What did you do during your current stay in Japan?,Overall,2024,8.0716
Overall,Walking in shopping districts,What you wanted to do during this trip to Japan?,Overall,2024,54.7056
Overall,Walking in shopping districts,What did you do during your current stay in Japan?,Overall,2024,78.6296
Overall,Experience Japanese history/culture,What you wanted to do during this trip to Japan?,Overall,2024,26.773
Overall,Experience Japanese history/culture,What did you do during your current stay in Japan?,Overall,2024,31.5684
Overall,Experience Japanese everyday life,What you wanted to do during this trip to Japan?,Overall,2024,21.1407
Overall,Experience Japanese everyday life,What did you do during your current stay in Japan?,Overall,2024,26.6758
Overall,Enjoy Japanese pop culture,What you wanted to do during this trip to Japan?,Overall,2024,15.4618
Overall,Enjoy Japanese pop culture,What did you do during your current stay in Japan?,Overall,2024,18.3902
Overall,Medical treatment/Medical check-up,What you wanted to do during this trip to Japan?,Overall,2024,0.6567
Overall,Medical treatment/Medical check-up,What did you do during your current stay in Japan?,Overall,2024,0.6585
Overall,None in particular,What you wanted to do during this trip to Japan?,Overall,2024,2.945
Overall,None in particular,What did you do during your current stay in Japan?,Overall,2024,0
